transfer_id,lambert_transfer_id,transfer_delta_v,departure_object_id,arrival_object_id,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_position_x_error,arrival_position_y_error,arrival_position_z_error,arrival_position_error,arrival_velocity_x_error,arrival_velocity_y_error,arrival_velocity_z_error,arrival_velocity_error
7326,402255,0.0177280657376502,40522,40479,-1137.23189395924,-1445.62717440877,6964.50198362549,-7.05717901056996,-1.78816824763588,-1.52086791130176,-91.7217601203774,-31.2697290450799,-25.3100664165759,100.156261392607,0.0297072722385545,-0.0140030692706927,-0.105959212640109,0.110932243807503,
7338,402270,0.020164689896223,40522,40479,-3472.66009889156,-1964.16022122006,6008.02550087897,-6.19495124791187,-1.15991106883964,-3.94306689727629,77.7851971013974,-7.28820412777577,46.5919332513131,90.9640756101341,-0.031950023069971,-0.0557387321561844,0.0778061643393588,0.100902970450596,
5808,372634,0.0245748237600082,40406,40606,-6896.9160830212,-1919.70769008476,-850.403788954466,0.510231216929426,1.32796244076777,-7.30742080112389,-23.9507427286626,-81.2099491837403,285.706716907077,297.988291732244,-0.29923052237969,-0.0786440300155846,-0.0440390145567111,0.312511157854948,
5820,372649,0.0262659245747762,40406,40606,-6052.13028794403,-1214.31423456216,-3717.49842603412,3.43259105427589,2.04231579380009,-6.28141035420029,-36.3672864231985,-46.657321952714,75.0548088748346,95.565210975669,-0.0823121117585219,-0.00170137538722814,-0.0485173078059828,0.0955620613899478,
7330,402260,0.026840096995731,40522,40479,-4937.25331639318,-570.475966233143,-5244.45796025065,5.0167215653815,2.24642082910367,-4.98788258818535,-112.138827292109,-74.8092838523447,110.840736705716,174.519954304417,-0.128605156373573,0.0123574517365741,-0.125769635861434,0.180305280466243,
5809,372635,0.0272245907991959,40406,40606,-6254.3376207071,-1345.3644628631,-3332.329925375,3.02331443469723,1.95339115968539,-6.5093910067901,-169.411864496102,-137.150993359325,334.934178671504,399.614412720375,-0.362861786216695,-0.0582923223356011,-0.1973265129213,0.417138374453044,
7342,402275,0.0273030694463339,40522,40479,-2539.12812884423,355.845762060303,-6750.97768050915,6.63780590052674,2.30641915509243,-2.38730239969239,56.1884595962706,7.12932165092559,-15.078801435825,58.611777585611,0.0112352154632154,0.0301853890609181,0.0642476430289589,0.0718689600178018,
5821,372650,0.0282371388575293,40406,40606,-4404.35614206618,-414.386392911633,-5689.59971582822,5.48187174718311,2.3669761933416,-4.43553342110702,-86.0289302921719,-59.0650715398427,71.1916151450159,126.324604057081,-0.086947985855125,0.0206698689438629,-0.0965965305776413,0.131598196971146,
5813,372640,0.0284511974239772,40406,40606,6130.52592551145,2337.75935092862,-3033.16401784516,3.33490203873154,-0.0618428739909187,6.63271400518214,-191.267504296315,46.0998690668498,-416.592856689155,460.714732098022,0.409790516610426,0.171000438843245,-0.194675153639142,0.484837945124807,
7337,402269,0.0285325872145502,40522,40479,-1123.3180978639,-1440.45985670459,6973.88492327909,-7.05867047450635,-1.79146358345454,-1.49762917511261,63.6619170473045,8.78574427739113,13.8450283315024,65.7397428816519,0.00357668244219589,-0.0394695696977923,0.0657406630202022,0.0767624541280239,
